url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,56,2
/thorek1/MacroModelling.jl,32,25
/thorek1/MacroModelling.jl/pulls,11,2
/thorek1/MacroModelling.jl/pull/297,6,3
/thorek1/MacroModelling.jl/actions,6,1
/thorek1/MacroModelling.jl/actions/runs/26718243680,5,1
/thorek1/MacroModelling.jl/pull/297/changes,5,1
/thorek1/MacroModelling.jl/actions/runs/26683000227,4,2
/thorek1/MacroModelling.jl/blob/main/AGENTS.md,4,2
/thorek1/MacroModelling.jl/actions/runs/26232763244,4,1
