time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-18 00:00:00+00:00,10,6,10,4
2025-12-19 00:00:00+00:00,14,10,8,1
2025-12-20 00:00:00+00:00,19,11,0,0
2025-12-21 00:00:00+00:00,82,40,20,7
2025-12-22 00:00:00+00:00,104,23,39,7
2025-12-23 00:00:00+00:00,96,42,5,5
2025-12-24 00:00:00+00:00,57,10,33,3
2025-12-25 00:00:00+00:00,23,9,4,4
2025-12-26 00:00:00+00:00,13,7,23,4
2025-12-27 00:00:00+00:00,18,8,23,6
2025-12-28 00:00:00+00:00,15,5,5,5
2025-12-29 00:00:00+00:00,15,7,4,4
2025-12-30 00:00:00+00:00,191,56,131,5
2025-12-31 00:00:00+00:00,384,131,133,5
