url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,246,1
/thorek1/MacroModelling.jl/actions,102,1
/thorek1/MacroModelling.jl,98,43
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,48,1
/thorek1/MacroModelling.jl/pulls,44,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,38,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,36,1
/thorek1/MacroModelling.jl/pull/234,23,1
/thorek1/MacroModelling.jl/tree/main/models,16,4
/thorek1/MacroModelling.jl/actions/runs/20962642050,9,1
