referrer,views_total,views_unique
Google,45,17
github.com,40,5
Yahoo,10,1
discourse.julialang.org,9,1
juliaregistries.github.io,5,3
thorekockerols.eu,2,2
dsge.net,2,2
Bing,1,1
search.brave.com,1,1
