url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,182,3
/thorek1/MacroModelling.jl,87,45
/thorek1/MacroModelling.jl/actions,26,1
/thorek1/MacroModelling.jl/tree/main/models,13,7
/thorek1/MacroModelling.jl/pulls,10,2
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,9,1
/thorek1/MacroModelling.jl/actions/runs/21449588443,8,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,8,1
/thorek1/MacroModelling.jl/blob/main/src/MacroModelling.jl,7,2
/thorek1/MacroModelling.jl/actions/runs/21114234434,7,1
