url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,152,2
/thorek1/MacroModelling.jl,88,56
/thorek1/MacroModelling.jl/actions,32,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,26,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,21,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,21,1
/thorek1/MacroModelling.jl/pulls,21,1
/thorek1/MacroModelling.jl/pull/234,14,1
/thorek1/MacroModelling.jl/tree/main/models,10,5
/thorek1/MacroModelling.jl/actions/runs/20953810946,9,1
