time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,22,12,5,3
2026-07-07 00:00:00+00:00,24,6,11,3
2026-07-08 00:00:00+00:00,31,13,3,3
2026-07-09 00:00:00+00:00,283,16,7,2
2026-07-10 00:00:00+00:00,33,17,6,4
2026-07-11 00:00:00+00:00,180,46,17,4
2026-07-12 00:00:00+00:00,102,19,3,3
2026-07-13 00:00:00+00:00,27,14,15,5
2026-07-14 00:00:00+00:00,128,18,5,3
2026-07-15 00:00:00+00:00,149,18,3,2
2026-07-16 00:00:00+00:00,12,6,7,6
2026-07-17 00:00:00+00:00,26,11,16,8
2026-07-18 00:00:00+00:00,26,11,6,3
2026-07-19 00:00:00+00:00,3,2,0,0
