url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,248,1
/thorek1/MacroModelling.jl,101,51
/thorek1/MacroModelling.jl/actions,61,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,50,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,40,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,39,1
/thorek1/MacroModelling.jl/pulls,39,1
/thorek1/MacroModelling.jl/pull/234,23,1
/thorek1/MacroModelling.jl/tree/main/models,20,5
/thorek1/MacroModelling.jl/actions/runs/20953810946,9,1
