referrer,views_total,views_unique
Google,61,22
github.com,40,11
thorekockerols.eu,11,4
youtube.com,6,1
juliaregistries.github.io,2,2
83qpmua466bozbcv.ml-d3eb1b62-b5e.devo-prd.inym23.b0.cloudera.site,1,1
