referrer,views_total,views_unique
github.com,70,8
Google,47,16
juliapackages.com,4,3
thorekockerols.eu,3,3
search.brave.com,2,2
chatgpt.com,1,1
discourse.julialang.org,1,1
juliaregistries.github.io,1,1
