referrer,views_total,views_unique
Google,41,12
github.com,34,6
thorekockerols.eu,21,5
juliaregistries.github.io,15,2
dsge.net,2,2
DuckDuckGo,1,1
com.linkedin.android,1,1
juliapackages.com,1,1
search.brave.com,1,1
