referrer,views_total,views_unique
github.com,51,4
Google,47,17
Yahoo,13,1
discourse.julialang.org,9,1
juliaregistries.github.io,5,3
dsge.net,3,3
youtube.com,3,2
Bing,1,1
search.brave.com,1,1
