time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,16,3,4,2
2026-08-07 00:00:00+00:00,22,14,3,2
2026-08-08 00:00:00+00:00,60,17,2,1
2026-08-09 00:00:00+00:00,12,8,9,6
2026-08-10 00:00:00+00:00,10,6,3,3
2026-08-11 00:00:00+00:00,44,38,4,3
2026-08-12 00:00:00+00:00,48,14,14,2
2026-08-13 00:00:00+00:00,30,9,7,7
2026-08-14 00:00:00+00:00,11,7,17,8
2026-08-15 00:00:00+00:00,1853,1872,8,3
2026-08-16 00:00:00+00:00,11,10,8,4
2026-08-17 00:00:00+00:00,29,10,13,8
2026-08-18 00:00:00+00:00,38,35,6,5
2026-08-19 00:00:00+00:00,49,10,5,2
