time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,114,29,22,5
2026-04-02 00:00:00+00:00,255,50,78,5
2026-04-03 00:00:00+00:00,280,63,123,8
2026-04-04 00:00:00+00:00,355,80,77,4
2026-04-05 00:00:00+00:00,896,145,291,5
2026-04-06 00:00:00+00:00,197,35,81,4
2026-04-07 00:00:00+00:00,18,11,23,7
2026-04-08 00:00:00+00:00,121,27,37,7
2026-04-09 00:00:00+00:00,440,98,157,4
2026-04-10 00:00:00+00:00,113,27,25,5
2026-04-11 00:00:00+00:00,335,92,49,9
2026-04-12 00:00:00+00:00,224,48,35,9
2026-04-13 00:00:00+00:00,348,69,86,9
2026-04-14 00:00:00+00:00,375,73,28,5
