referrer,views_total,views_unique
github.com,48,13
juliaregistries.github.io,30,5
Google,27,15
dsge.net,3,3
youtube.com,3,2
claude.ai,2,1
thorekockerols.eu,2,1
juliapackages.com,1,1
t.co,1,1
