time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,151,18,,
2025-08-16 00:00:00+00:00,55,14,1.0,1.0
2025-08-17 00:00:00+00:00,98,20,2.0,1.0
2025-08-18 00:00:00+00:00,156,23,2.0,2.0
2025-08-19 00:00:00+00:00,13,6,8.0,3.0
2025-08-20 00:00:00+00:00,135,32,,
2025-08-21 00:00:00+00:00,207,44,22.0,2.0
2025-08-22 00:00:00+00:00,204,30,34.0,2.0
2025-08-23 00:00:00+00:00,19,11,2.0,2.0
2025-08-24 00:00:00+00:00,86,14,11.0,6.0
2025-08-25 00:00:00+00:00,236,42,23.0,3.0
2025-08-26 00:00:00+00:00,345,56,29.0,4.0
2025-08-27 00:00:00+00:00,12,6,17.0,3.0
2025-08-28 00:00:00+00:00,4,4,3.0,1.0
