time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,371,39,7,4
2026-08-01 00:00:00+00:00,193,27,29,6
2026-08-02 00:00:00+00:00,154,20,40,3
2026-08-03 00:00:00+00:00,194,58,9,6
2026-08-04 00:00:00+00:00,96,13,7,2
2026-08-05 00:00:00+00:00,83,9,4,4
2026-08-06 00:00:00+00:00,16,3,4,2
2026-08-07 00:00:00+00:00,22,14,3,2
2026-08-08 00:00:00+00:00,60,17,2,1
2026-08-09 00:00:00+00:00,12,8,9,6
2026-08-10 00:00:00+00:00,10,6,3,3
2026-08-11 00:00:00+00:00,44,38,4,3
2026-08-12 00:00:00+00:00,48,14,14,2
2026-08-13 00:00:00+00:00,30,9,7,7
