time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,584,113,52,8
2026-04-28 00:00:00+00:00,305,59,18,5
2026-04-29 00:00:00+00:00,309,69,58,14
2026-04-30 00:00:00+00:00,491,90,76,13
2026-05-01 00:00:00+00:00,601,122,65,10
2026-05-02 00:00:00+00:00,722,165,189,6
2026-05-03 00:00:00+00:00,1285,190,190,4
2026-05-04 00:00:00+00:00,174,30,45,10
2026-05-05 00:00:00+00:00,271,48,33,8
2026-05-06 00:00:00+00:00,749,153,122,10
2026-05-07 00:00:00+00:00,251,68,24,8
2026-05-08 00:00:00+00:00,190,49,20,6
2026-05-09 00:00:00+00:00,819,191,132,9
2026-05-10 00:00:00+00:00,577,132,132,3
