url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,187,1
/thorek1/MacroModelling.jl,56,33
/thorek1/MacroModelling.jl/pulls,19,4
/thorek1/MacroModelling.jl/actions,14,1
/thorek1/MacroModelling.jl/actions/runs/22135747347,12,1
/thorek1/MacroModelling.jl/actions/runs/22171125827,8,1
/thorek1/MacroModelling.jl/pull/262,8,1
/thorek1/MacroModelling.jl/actions/runs/22072478471,7,1
/thorek1/MacroModelling.jl/actions/runs/22045102390,6,1
/thorek1/MacroModelling.jl/actions/runs/22154723150,6,1
