url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,99,2
/thorek1/MacroModelling.jl,39,31
/thorek1/MacroModelling.jl/actions,20,1
/thorek1/MacroModelling.jl/pulls,12,1
/thorek1/MacroModelling.jl/tree/main/models,10,7
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,10,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,9,1
/thorek1/MacroModelling.jl/pull/295/changes,9,1
/thorek1/MacroModelling.jl/actions/runs/26098033474,7,1
/thorek1/MacroModelling.jl/pull/295,7,1
