time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,445,69,60,8
2026-03-27 00:00:00+00:00,245,44,117,10
2026-03-28 00:00:00+00:00,111,34,5,2
2026-03-29 00:00:00+00:00,270,78,52,4
2026-03-30 00:00:00+00:00,125,32,17,10
2026-03-31 00:00:00+00:00,149,25,40,11
2026-04-01 00:00:00+00:00,114,29,22,5
2026-04-02 00:00:00+00:00,255,50,78,5
2026-04-03 00:00:00+00:00,280,63,123,8
2026-04-04 00:00:00+00:00,355,80,77,4
2026-04-05 00:00:00+00:00,896,145,291,5
2026-04-06 00:00:00+00:00,197,35,81,4
2026-04-07 00:00:00+00:00,18,11,23,7
2026-04-08 00:00:00+00:00,121,27,37,7
