time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,64,56,17,3
2025-09-02 00:00:00+00:00,12,6,22,2
2025-09-03 00:00:00+00:00,12,12,2,2
2025-09-04 00:00:00+00:00,6,6,1,1
2025-09-05 00:00:00+00:00,5,5,57,3
2025-09-06 00:00:00+00:00,66,16,6,3
2025-09-07 00:00:00+00:00,12,10,3,2
2025-09-08 00:00:00+00:00,6,5,4,3
2025-09-09 00:00:00+00:00,7,7,9,3
2025-09-10 00:00:00+00:00,41,14,6,2
2025-09-11 00:00:00+00:00,39,13,5,2
2025-09-12 00:00:00+00:00,11,8,8,2
2025-09-13 00:00:00+00:00,8,8,8,4
2025-09-14 00:00:00+00:00,4,3,6,2
