url_path,views_total,views_unique
/thorek1/MacroModelling.jl,64,32
/thorek1/MacroModelling.jl/tree/main/models,11,9
/thorek1/MacroModelling.jl/tree/main,11,4
/thorek1/MacroModelling.jl/blob/main/README.md,6,5
/thorek1/MacroModelling.jl/blob/main/models/FRBUS.jl,6,3
/thorek1/MacroModelling.jl/blob/main/models/Smets_Wouters_2007.jl,6,2
/thorek1/MacroModelling.jl/blob/main/models/Smets_Wouters_2007_linear.jl,5,3
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,5,2
/thorek1/MacroModelling.jl/pull/300,5,2
/thorek1/MacroModelling.jl/blob/main/CLAUDE.md,4,3
