url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,179,2
/thorek1/MacroModelling.jl,73,36
/thorek1/MacroModelling.jl/actions,51,1
/thorek1/MacroModelling.jl/pull/262/changes,19,1
/thorek1/MacroModelling.jl/pulls,18,4
/thorek1/MacroModelling.jl/tree/main/models,15,8
/thorek1/MacroModelling.jl/actions/runs/25424256301,9,1
/thorek1/MacroModelling.jl/actions/runs/25308133068,8,1
/thorek1/MacroModelling.jl/actions/runs/25640885427,8,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,8,1
