time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-02 00:00:00+00:00,398,140,110,7
2026-01-03 00:00:00+00:00,254,64,57,2
2026-01-04 00:00:00+00:00,420,94,114,2
2026-01-05 00:00:00+00:00,329,58,57,5
2026-01-06 00:00:00+00:00,319,68,97,3
2026-01-07 00:00:00+00:00,428,84,164,6
2026-01-08 00:00:00+00:00,342,68,38,6
2026-01-09 00:00:00+00:00,422,65,49,1
2026-01-10 00:00:00+00:00,698,148,203,6
2026-01-11 00:00:00+00:00,323,63,106,9
2026-01-12 00:00:00+00:00,632,126,190,12
2026-01-13 00:00:00+00:00,406,87,181,4
2026-01-14 00:00:00+00:00,237,44,78,11
2026-01-15 00:00:00+00:00,37,21,16,10
