time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,252,33,25,2
2026-02-05 00:00:00+00:00,231,34,44,4
2026-02-06 00:00:00+00:00,327,53,54,8
2026-02-07 00:00:00+00:00,64,21,18,4
2026-02-08 00:00:00+00:00,69,18,15,6
2026-02-09 00:00:00+00:00,21,12,16,6
2026-02-10 00:00:00+00:00,99,33,20,5
2026-02-11 00:00:00+00:00,34,9,15,8
2026-02-12 00:00:00+00:00,441,68,99,5
2026-02-13 00:00:00+00:00,270,38,46,5
2026-02-14 00:00:00+00:00,349,46,84,3
2026-02-15 00:00:00+00:00,285,55,22,6
2026-02-16 00:00:00+00:00,607,78,83,5
2026-02-17 00:00:00+00:00,769,127,114,5
