url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,237,2
/thorek1/MacroModelling.jl,86,49
/thorek1/MacroModelling.jl/actions,58,2
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,28,1
/thorek1/MacroModelling.jl/pull/262/changes,24,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,23,1
/thorek1/MacroModelling.jl/pulls,21,6
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,19,1
/thorek1/MacroModelling.jl/actions/runs/25251760637/job/74044781155,14,2
/thorek1/MacroModelling.jl/actions/runs/25206603340,12,1
