url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,251,1
/thorek1/MacroModelling.jl/actions,202,1
/thorek1/MacroModelling.jl,116,40
/thorek1/MacroModelling.jl/pulls,49,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,36,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,32,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,24,1
/thorek1/MacroModelling.jl/pull/234,18,1
/thorek1/MacroModelling.jl/tree/main/models,17,5
/thorek1/MacroModelling.jl/pull/214,17,1
