url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,215,2
/thorek1/MacroModelling.jl,75,37
/thorek1/MacroModelling.jl/actions,58,1
/thorek1/MacroModelling.jl/pull/262/changes,23,1
/thorek1/MacroModelling.jl/pulls,17,5
/thorek1/MacroModelling.jl/tree/main/models,15,8
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,15,1
/thorek1/MacroModelling.jl/actions/runs/25251760637/job/74044781155,14,2
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,14,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,13,1
