time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,12,6,17,3
2025-08-28 00:00:00+00:00,16,10,3,1
2025-08-29 00:00:00+00:00,14,8,4,3
2025-08-30 00:00:00+00:00,15,9,52,1
2025-08-31 00:00:00+00:00,13,7,7,1
2025-09-01 00:00:00+00:00,64,56,17,3
2025-09-02 00:00:00+00:00,12,6,22,2
2025-09-03 00:00:00+00:00,12,12,2,2
2025-09-04 00:00:00+00:00,6,6,1,1
2025-09-05 00:00:00+00:00,5,5,57,3
2025-09-06 00:00:00+00:00,66,16,6,3
2025-09-07 00:00:00+00:00,12,10,3,2
2025-09-08 00:00:00+00:00,6,5,4,3
2025-09-09 00:00:00+00:00,1,1,9,3
