time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,197,35,81,4
2026-04-07 00:00:00+00:00,18,11,23,7
2026-04-08 00:00:00+00:00,121,27,37,7
2026-04-09 00:00:00+00:00,440,98,157,4
2026-04-10 00:00:00+00:00,113,27,25,5
2026-04-11 00:00:00+00:00,335,92,49,9
2026-04-12 00:00:00+00:00,224,48,35,9
2026-04-13 00:00:00+00:00,348,69,86,9
2026-04-14 00:00:00+00:00,375,73,28,5
2026-04-15 00:00:00+00:00,229,41,44,6
2026-04-16 00:00:00+00:00,25,12,23,8
2026-04-17 00:00:00+00:00,355,52,21,9
2026-04-18 00:00:00+00:00,289,53,41,6
2026-04-19 00:00:00+00:00,332,92,54,10
