url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,248,1
/thorek1/MacroModelling.jl,101,47
/thorek1/MacroModelling.jl/actions,90,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,48,1
/thorek1/MacroModelling.jl/pulls,43,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,38,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,36,1
/thorek1/MacroModelling.jl/pull/234,23,1
/thorek1/MacroModelling.jl/tree/main/models,19,4
/thorek1/MacroModelling.jl/actions/runs/20962642050,9,1
