url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,202,1
/thorek1/MacroModelling.jl,90,53
/thorek1/MacroModelling.jl/actions,38,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,38,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,29,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,28,1
/thorek1/MacroModelling.jl/pull/234,23,1
/thorek1/MacroModelling.jl/pulls,22,1
/thorek1/MacroModelling.jl/tree/main/models,12,4
/thorek1/MacroModelling.jl/actions/runs/20953810946,9,1
