time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,116,33,15,4
2026-06-25 00:00:00+00:00,181,31,17,10
2026-06-26 00:00:00+00:00,39,13,27,7
2026-06-27 00:00:00+00:00,38,14,26,5
2026-06-28 00:00:00+00:00,401,66,55,6
2026-06-29 00:00:00+00:00,97,28,13,3
2026-06-30 00:00:00+00:00,5,5,11,2
2026-07-01 00:00:00+00:00,24,7,17,15
2026-07-02 00:00:00+00:00,8,3,4,4
2026-07-03 00:00:00+00:00,21,11,37,12
2026-07-04 00:00:00+00:00,23,13,11,8
2026-07-05 00:00:00+00:00,89,17,9,4
2026-07-06 00:00:00+00:00,22,12,5,3
2026-07-07 00:00:00+00:00,24,6,11,3
