time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,19,7,8,7
2026-09-04 00:00:00+00:00,14,7,7,5
2026-09-05 00:00:00+00:00,282,15,1,1
2026-09-06 00:00:00+00:00,23,10,7,3
2026-09-07 00:00:00+00:00,25,13,4,3
2026-09-08 00:00:00+00:00,18,12,5,5
2026-09-09 00:00:00+00:00,18,9,6,5
2026-09-10 00:00:00+00:00,20,11,14,8
2026-09-11 00:00:00+00:00,10,9,16,12
2026-09-12 00:00:00+00:00,13,13,13,10
2026-09-13 00:00:00+00:00,14,12,10,7
2026-09-14 00:00:00+00:00,108,22,6,3
2026-09-15 00:00:00+00:00,626,20,8,5
2026-09-16 00:00:00+00:00,18,13,3,3
