url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,203,3
/thorek1/MacroModelling.jl,105,38
/thorek1/MacroModelling.jl/actions,66,1
/thorek1/MacroModelling.jl/pulls,23,2
/thorek1/MacroModelling.jl/tree/main/models,9,6
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,9,1
/thorek1/MacroModelling.jl/actions/runs/21449588443,8,1
/thorek1/MacroModelling.jl/actions/runs/21468273927,7,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,7,1
/thorek1/MacroModelling.jl/blob/main/src/MacroModelling.jl,6,2
