referrer,views_total,views_unique
github.com,100,11
Google,72,16
dsge.net,4,3
youtube.com,3,2
thorekockerols.eu,2,2
chatgpt.com,2,1
juliaregistries.github.io,1,1
juliapackages.com,1,1
