url_path,views_total,views_unique
/thorek1/MacroModelling.jl,78,44
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,40,4
/thorek1/MacroModelling.jl/tree/main/models,10,5
/thorek1/MacroModelling.jl/actions/runs/23603149307,6,3
/thorek1/MacroModelling.jl/actions/runs/23088201648,6,1
/thorek1/MacroModelling.jl/pull/127/commits/94c7060d2c18bd7e1d200006b7fd907fdeb4c699,4,4
/thorek1/MacroModelling.jl/actions/runs/23567627484/job/68622856909,4,2
/thorek1/MacroModelling.jl/actions/runs/23089818364,4,1
/thorek1/MacroModelling.jl/actions/runs/23111306445,4,1
/thorek1/MacroModelling.jl/tree/main/benchmark,3,3
