time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,748,179,87,18
2026-04-22 00:00:00+00:00,992,246,100,6
2026-04-23 00:00:00+00:00,1083,256,103,9
2026-04-24 00:00:00+00:00,522,165,47,7
2026-04-25 00:00:00+00:00,523,154,77,5
2026-04-26 00:00:00+00:00,624,143,113,2
2026-04-27 00:00:00+00:00,584,113,52,8
2026-04-28 00:00:00+00:00,305,59,18,5
2026-04-29 00:00:00+00:00,309,69,58,14
2026-04-30 00:00:00+00:00,491,90,76,13
2026-05-01 00:00:00+00:00,601,122,65,10
2026-05-02 00:00:00+00:00,722,165,189,6
2026-05-03 00:00:00+00:00,1285,190,190,4
2026-05-04 00:00:00+00:00,174,30,45,10
