url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,174,2
/thorek1/MacroModelling.jl,70,37
/thorek1/MacroModelling.jl/actions/runs/21963273816/job/63446240535,13,1
/thorek1/MacroModelling.jl/actions,12,1
/thorek1/MacroModelling.jl/actions/runs/22020023410,11,1
/thorek1/MacroModelling.jl/actions/runs/22135747347,11,1
/thorek1/MacroModelling.jl/tree/main/models,10,6
/thorek1/MacroModelling.jl/actions/runs/21963273816/job/63446240515,10,1
/thorek1/MacroModelling.jl/pulls,8,3
/thorek1/MacroModelling.jl/actions/runs/21963273816/job/63446240573,8,1
