time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-21 00:00:00+00:00,205,53,40,8
2026-05-22 00:00:00+00:00,369,70,26,5
2026-05-23 00:00:00+00:00,36,23,9,4
2026-05-24 00:00:00+00:00,28,14,2,2
2026-05-25 00:00:00+00:00,238,59,11,4
2026-05-26 00:00:00+00:00,999,243,13,3
2026-05-27 00:00:00+00:00,1010,257,4,3
2026-05-28 00:00:00+00:00,239,83,2,1
2026-05-29 00:00:00+00:00,28,10,9,7
2026-05-30 00:00:00+00:00,305,68,43,7
2026-05-31 00:00:00+00:00,393,87,41,6
2026-06-01 00:00:00+00:00,455,74,40,3
2026-06-02 00:00:00+00:00,354,66,62,6
2026-06-03 00:00:00+00:00,148,25,17,4
