time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-16 00:00:00+00:00,7,7,2.0,2.0
2025-12-17 00:00:00+00:00,5,5,28.0,5.0
2025-12-18 00:00:00+00:00,10,6,10.0,4.0
2025-12-19 00:00:00+00:00,14,10,8.0,1.0
2025-12-20 00:00:00+00:00,19,11,,
2025-12-21 00:00:00+00:00,82,40,20.0,7.0
2025-12-22 00:00:00+00:00,104,23,39.0,7.0
2025-12-23 00:00:00+00:00,96,42,5.0,5.0
2025-12-24 00:00:00+00:00,57,10,33.0,3.0
2025-12-25 00:00:00+00:00,23,9,4.0,4.0
2025-12-26 00:00:00+00:00,13,7,23.0,4.0
2025-12-27 00:00:00+00:00,18,8,23.0,6.0
2025-12-28 00:00:00+00:00,15,5,5.0,5.0
2025-12-29 00:00:00+00:00,9,5,4.0,4.0
