time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-22 00:00:00+00:00,671,182,183,4
2025-11-23 00:00:00+00:00,562,144,213,5
2025-11-24 00:00:00+00:00,358,80,52,4
2025-11-25 00:00:00+00:00,202,59,52,5
2025-11-26 00:00:00+00:00,421,90,133,3
2025-11-27 00:00:00+00:00,383,57,153,15
2025-11-28 00:00:00+00:00,332,76,107,6
2025-11-29 00:00:00+00:00,186,47,38,7
2025-11-30 00:00:00+00:00,66,27,25,14
2025-12-01 00:00:00+00:00,505,179,30,9
2025-12-02 00:00:00+00:00,160,62,11,4
2025-12-03 00:00:00+00:00,661,167,20,5
2025-12-04 00:00:00+00:00,81,25,15,8
2025-12-05 00:00:00+00:00,63,18,6,5
