time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,143,36,27.0,5.0
2025-11-05 00:00:00+00:00,138,23,11.0,4.0
2025-11-06 00:00:00+00:00,51,20,22.0,4.0
2025-11-07 00:00:00+00:00,99,40,13.0,5.0
2025-11-08 00:00:00+00:00,42,21,3.0,3.0
2025-11-09 00:00:00+00:00,86,24,15.0,4.0
2025-11-10 00:00:00+00:00,23,12,9.0,7.0
2025-11-11 00:00:00+00:00,199,25,43.0,11.0
2025-11-12 00:00:00+00:00,65,14,13.0,6.0
2025-11-13 00:00:00+00:00,46,15,28.0,8.0
2025-11-14 00:00:00+00:00,130,18,6.0,1.0
2025-11-15 00:00:00+00:00,117,15,5.0,1.0
2025-11-16 00:00:00+00:00,20,18,,
2025-11-17 00:00:00+00:00,69,14,22.0,8.0
