time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,17,8,28,28
2025-10-17 00:00:00+00:00,26,11,50,38
2025-10-18 00:00:00+00:00,35,15,36,23
2025-10-19 00:00:00+00:00,408,48,210,5
2025-10-20 00:00:00+00:00,105,13,92,9
2025-10-21 00:00:00+00:00,23,11,14,4
2025-10-22 00:00:00+00:00,37,16,28,8
2025-10-23 00:00:00+00:00,68,17,19,4
2025-10-24 00:00:00+00:00,207,26,43,6
2025-10-25 00:00:00+00:00,68,13,21,2
2025-10-26 00:00:00+00:00,211,64,74,4
2025-10-27 00:00:00+00:00,199,47,121,8
2025-10-28 00:00:00+00:00,74,16,6,6
2025-10-29 00:00:00+00:00,39,15,16,4
