time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,136,21,3,3
2026-08-29 00:00:00+00:00,7,6,4,3
2026-08-30 00:00:00+00:00,12,6,2,2
2026-08-31 00:00:00+00:00,223,136,17,3
2026-09-01 00:00:00+00:00,26,12,12,4
2026-09-02 00:00:00+00:00,8,6,4,4
2026-09-03 00:00:00+00:00,19,7,8,7
2026-09-04 00:00:00+00:00,14,7,7,5
2026-09-05 00:00:00+00:00,282,15,1,1
2026-09-06 00:00:00+00:00,23,10,7,3
2026-09-07 00:00:00+00:00,25,13,4,3
2026-09-08 00:00:00+00:00,18,12,5,5
2026-09-09 00:00:00+00:00,18,9,6,5
2026-09-10 00:00:00+00:00,20,11,14,8
