period,real_GDP_per_capita_growth,real_consumption_per_capita_growth,real_investment_per_capita_growth,hours_worked,hours_growth,inflation,real_wage_per_capita_growth,interest_rate,shadow_interest_rate
1976-07-01,0.6574722218780193,0.4580918014067459,-0.09197451194083994,13.270086779239364,-0.007023536296557609,2.750796639920461,1.5362214736441615,2.3370960660669673,2.3370960660669673
1976-10-01,1.4088954832689016,1.04672918034876,2.5522513124472903,12.892582471680157,-0.06569118386359207,2.5384250713220258,1.203034491697963,2.301393452735605,2.301393452735605
1977-01-01,0.2228133505717267,0.21271464123397976,0.8711004090578456,12.509219256669326,-0.06675491056418181,2.341138988823177,0.6613029572722695,2.553579086669625,2.553579086669625
1977-04-01,-0.0583910335768989,0.7599923702653166,-2.077704819596299,12.12045077442599,-0.06774166773100276,3.041717804026156,1.2400123193291535,2.3429269086410276,2.3429269086410276
1977-07-01,-0.11932432415786565,0.8804750573689235,0.47378993650604717,11.7267485989031,-0.06864814659035545,2.141633920952213,0.48653797047091274,2.2495956208835,2.2495956208835
1977-10-01,0.985966919907888,0.501344646750157,1.4155235665364807,11.27545220506363,-0.07874861607701789,2.2139991675974358,0.8994258107556163,2.2824395212866624,2.2824395212866624
1978-01-01,0.4323934397269191,-0.5604893009081513,0.09404603754681329,10.820845652431558,-0.07938896673485019,2.3439672937763056,1.1862869965145961,2.0142485510656476,2.0142485510656476
1978-04-01,0.9201886719995445,0.6050610797841971,0.18159091699818664,10.364355297764519,-0.07978140823263757,2.386629089475667,0.4377299172894311,1.9773166263833926,1.9773166263833926
1978-07-01,0.24693840858103222,0.5590158594536154,0.3064179607687456,9.907491332854875,-0.07991048438622528,2.225612751651118,1.055818520508467,2.2930043400864126,2.2930043400864126
1978-10-01,0.9574825209015314,0.8862632341229748,1.4897971680147837,9.718855142924895,-0.03301315985684283,2.0033098376790015,0.8613570158571449,2.2841653145241225,2.2841653145241225
1979-01-01,0.27696863961850227,0.4914179080018677,-1.674163080668023,9.529583921512653,-0.033135253924587715,2.2015061535689107,1.0710337602485964,1.92423440155317,1.92423440155317
1979-04-01,1.3507888898868892,1.729613257667073,3.9061071108819623,9.337386319952657,-0.033658807363767806,2.3715358074140713,0.39560521265631365,2.3375902944790123,2.3375902944790123
1979-07-01,0.26453295012380806,-0.45251354105055874,0.7098176262740119,9.140089433931507,-0.03456361297189403,2.8684942012179526,1.2245874352842634,2.755488881293275,2.755488881293275
1979-10-01,0.6955564092712141,1.1303804364812375,1.8074135431726979,8.942599004478097,-0.034609487190451205,2.649521535703414,0.8183927806935998,3.17338721811035,3.17338721811035
1980-01-01,0.684573047225201,0.857281331267834,2.214533282858122,8.735934101979637,-0.036230110924506675,2.8893751416484648,0.707663088269328,3.183740725549275,3.183740725549275
1980-04-01,-0.729940835877696,-0.7521207289069354,-1.4463961815971649,8.518203124488537,-0.03818429240531884,2.62100711034976,-0.17207468533513293,3.30923516065685,3.30923516065685
1980-07-01,-0.3200656755618869,0.7138289956624355,-0.4117265146422522,8.287637146327938,-0.04045111556703063,2.3358734461072395,0.27520741697628637,3.059722716248625,3.059722716248625
1980-10-01,-0.219047626701796,0.3522073180548313,-0.9823399029549318,7.775676273005274,-0.08987834057894162,2.113686380027735,0.7728002152314062,3.165789021018725,3.165789021018725
1981-01-01,-0.17164303320054142,0.001307255500004878,-0.6260451651067256,7.25103646452169,-0.09218810048006176,2.2707900510613666,0.09752697874318983,3.358182541987325,3.358182541987325
1981-04-01,0.02990653246384145,-0.29131401249662403,-0.3090780355771705,6.716183328400575,-0.09407032116444114,2.969553764003896,0.8885067608291664,3.87692498786885,3.87692498786885
1981-07-01,0.006205115979684983,0.09687738600145934,-1.4097925316783222,6.173641679807929,-0.09551307725406133,2.8280918669964183,0.6374385065003096,4.0333081922351,4.0333081922351
1981-10-01,-0.034029734537277534,0.6380748116791235,-2.9118796548794346,5.545824670083903,-0.11063957069001873,2.730558273031214,0.49403727123547014,3.856533688171375,3.856533688171375
1982-01-01,0.14597470046582295,-0.2887538243818044,-0.23043419943661325,4.916163491280486,-0.11108765428131662,2.3547487465909622,0.17190290224888827,3.5827892842398,3.5827892842398
1982-04-01,-0.12909329213428578,-0.665256427931582,-0.8676602926660948,4.288467256241347,-0.1108639540183809,2.7547441249333726,-0.11148957674578241,3.599969601991975,3.599969601991975
1982-07-01,-0.7943806671163234,-0.5271920215224046,-1.4949585849638847,3.666552767628673,-0.10996412863200078,2.142537442990511,0.21102568716528936,3.337346587067325,3.337346587067325
1982-10-01,-0.21182021522929695,0.6262313079183901,-1.4332372779245761,3.1845180754029343,-0.0853144723457433,2.125352608565123,0.17276526521481372,3.151618638734975,3.151618638734975
1983-01-01,0.41463755159678595,-0.04869127821249819,-0.11978097888734052,2.714641155961317,-0.08323280340967187,2.101396515122911,-0.305574370079853,2.971581827306275,2.971581827306275
1983-04-01,0.40979084169048274,-0.04789890548462239,-0.17994146456611348,2.25866091952264,-0.0808374683639812,1.856222421788889,0.624818345293221,2.9618527398074,2.9618527398074
1983-07-01,0.024343874187815473,-0.33542227232323807,0.04408076763566804,1.8182449555321227,-0.07814027832866444,2.2058236264400843,0.6568763105255115,3.054627958352075,3.054627958352075
1983-10-01,0.8605200638243327,0.9662217934337081,-1.220811542394179,1.3474564871191888,-0.083596659487295,1.9677789591865391,0.005573444063067257,3.042251469535825,3.042251469535825
1984-01-01,0.6367590534831269,0.5404501404300932,-0.33892177748455765,0.8957915259188667,-0.08026668612757248,1.7477364771027126,0.6028126571356651,2.857890285500275,2.857890285500275
1984-04-01,-0.6835546822113514,-0.46926669842806135,-2.6496206511629428,0.46531675229050506,-0.07656092761996192,1.4633581766759551,-0.9685939971282309,2.714452658265925,2.714452658265925
1984-07-01,0.8248841200742874,-0.018246656749432155,1.0690046440761936,0.05794989049729793,-0.07250515274677127,1.5934657468293256,0.7152805561666753,2.603363701784,2.603363701784
1984-10-01,0.31872442884572916,0.45217853269672315,1.1694683209058088,-0.28408000193530825,-0.06091678338986384,0.9910083608934972,0.9350870941492673,2.5319990351627,2.5319990351627
